episode,stage,reward,avg_reward,MSE,timeframe,steps,epsilon,progress_pct,success_rate,Buffer,time_ms,streak,reached_finish
96,1,-7.6241,-5.8986,0.243,440,1165,0.621,85,0.00,2512,380.31,0,0
97,1,-1.9490,-5.8005,0.294,529,1341,0.618,85,0.00,2565,447.59,0,0
98,1,-1.3233,-5.7199,0.216,413,1057,0.615,80,0.00,2607,352.07,0,0
99,1,-4.4726,-5.7141,0.311,101,260,0.612,40,0.00,2618,90.67,0,0
100,1,-4.5457,-5.6166,0.283,374,969,0.609,75,0.00,2656,329.24,0,0
101,1,-4.6740,-5.6185,0.292,133,330,0.606,50,0.00,2670,123.74,0,0
102,1,-7.6855,-5.6502,0.221,228,592,0.603,65,0.00,2693,196.03,0,0
103,1,-5.3408,-5.6771,0.236,528,1335,0.600,85,0.00,2746,452.11,0,0
104,1,-5.9735,-5.7089,0.281,376,1000,0.597,80,0.00,2784,347.21,0,0
105,1,-9.2489,-5.7768,0.259,365,956,0.594,80,0.00,2821,322.20,0,0
106,1,-6.7337,-5.8024,0.175,268,710,0.591,70,0.00,2848,233.57,0,0
107,1,-6.6976,-5.8288,0.219,266,737,0.588,75,0.00,2875,230.12,0,0
108,1,-7.8559,-5.8875,0.268,311,827,0.585,75,0.00,2907,267.70,0,0
109,1,-7.8225,-5.9960,0.230,500,1282,0.582,85,0.00,2957,448.24,0,0
110,1,-3.5836,-5.9060,0.214,287,786,0.579,75,0.00,2986,248.94,0,0
111,1,1.7655,-5.6840,0.248,372,1023,0.576,80,0.00,3024,324.14,0,0
112,1,-0.2159,-5.6317,0.249,353,924,0.573,75,0.00,3060,307.70,0,0
113,1,-1.7562,-5.5223,0.273,416,1092,0.570,80,0.00,3102,355.77,0,0
114,1,-5.2766,-5.4947,0.230,360,952,0.568,80,0.00,3138,364.67,0,0
115,1,-4.9464,-5.5348,0.404,178,499,0.565,60,0.00,3156,166.40,0,0
116,1,-3.7498,-5.5302,0.262,213,623,0.562,70,0.00,3178,191.61,0,0
117,1,-4.4015,-5.4976,0.264,125,311,0.559,45,0.00,3191,111.32,0,0
118,1,-9.5870,-5.6310,0.249,811,2031,0.556,90,0.00,3273,717.04,0,0
119,1,-5.0373,-5.6242,0.249,118,293,0.554,45,0.00,3285,109.32,0,0
120,1,-3.7902,-5.5637,0.253,399,1065,0.551,80,0.00,3325,338.56,0,0
121,1,-5.5386,-5.5247,0.340,90,218,0.548,40,0.00,3334,79.75,0,0
122,1,-8.3138,-5.6059,0.236,675,1785,0.545,95,0.00,3402,596.16,0,0
123,1,-5.5454,-5.5947,0.233,312,852,0.543,75,0.00,3434,269.00,0,0
124,1,-0.9331,-5.5029,0.223,489,1264,0.540,85,0.00,3483,408.86,0,0
125,1,-2.3642,-5.4641,0.202,668,1743,0.537,90,0.00,3550,560.74,0,0
126,1,-1.6453,-5.3721,0.192,238,663,0.534,70,0.00,3574,214.56,0,0
127,1,-2.5749,-5.3045,0.224,196,526,0.532,60,0.00,3594,185.16,0,0
128,1,-3.1325,-5.2171,0.225,241,664,0.529,70,0.00,3619,242.91,0,0
129,1,-4.3522,-5.1026,0.211,140,351,0.526,50,0.00,3633,131.58,0,0
130,1,-9.5158,-5.1773,0.204,481,1250,0.524,85,0.00,3682,485.26,0,0
131,1,-3.5934,-5.0870,0.203,292,772,0.521,70,0.00,3712,256.71,0,0
