episode,stage,reward,avg_reward,MSE,timeframe,steps,epsilon,progress_pct,success_rate,Buffer,time_ms,streak,reached_finish
137,1,-5.6233,-3.4885,0.333,253,646,0.506,65,0.00,3489,224.31,0,0
138,1,-3.0910,-3.5872,0.332,248,699,0.503,70,0.00,3514,219.96,0,0
139,1,-4.1272,-3.5480,0.263,116,287,0.501,45,0.00,3526,105.88,0,0
140,1,-4.6040,-3.5178,0.251,97,257,0.498,45,0.00,3536,89.23,0,0
141,1,-0.7286,-3.4518,0.258,238,600,0.496,65,0.00,3560,211.94,0,0
142,1,-0.0671,-3.4155,0.305,279,747,0.493,70,0.00,3588,249.93,0,0
143,1,-0.2077,-3.3190,0.342,200,591,0.491,70,0.00,3608,177.69,0,0
144,1,-3.5750,-3.3100,0.302,433,1134,0.488,80,0.00,3652,380.96,0,0
145,1,-1.7506,-3.2613,0.270,262,775,0.486,75,0.00,3679,234.31,0,0
146,1,1.2443,-3.1474,0.281,415,1104,0.483,80,0.00,3721,372.38,0,0
147,1,-0.6915,-3.0846,0.290,326,865,0.481,75,0.00,3754,291.55,0,0
148,1,-4.1215,-3.0639,0.260,526,1305,0.479,85,0.00,3807,458.33,0,0
149,1,-3.4379,-3.0463,0.295,257,657,0.476,65,0.00,3833,228.52,0,0
150,1,-2.5604,-3.0266,0.247,451,1338,0.474,95,0.00,3879,402.43,0,0
151,1,-3.5574,-3.0508,0.214,131,366,0.471,55,0.00,3893,118.74,0,0
152,1,-1.5922,-3.0586,0.214,404,1116,0.469,85,0.00,3934,339.21,0,0
153,1,-1.3161,-3.0318,0.327,355,1062,0.467,90,0.00,3970,311.36,0,0
154,1,-0.9124,-2.9489,0.285,209,596,0.464,70,0.00,3991,193.52,0,0
155,1,-2.2771,-2.9395,0.292,197,493,0.462,60,0.00,4011,176.95,0,0
156,1,-2.8987,-2.8877,0.264,204,541,0.460,60,0.00,4032,183.49,0,0
157,1,-0.4502,-2.7701,0.198,223,634,0.458,70,0.00,4055,204.73,0,0
158,1,-2.1037,-2.8063,0.324,236,649,0.455,70,0.00,4079,209.06,0,0
159,1,-0.2203,-2.8014,0.250,363,982,0.453,80,0.00,4116,330.20,0,0
160,1,-0.8549,-2.7670,0.301,615,1680,0.451,95,0.00,4178,541.88,0,0
161,1,-0.0919,-2.6301,0.261,323,834,0.448,75,0.00,4211,292.91,0,0
162,1,-2.6868,-2.6282,0.275,493,1373,0.446,90,0.00,4261,429.00,0,0
163,1,-3.2077,-2.6049,0.310,555,1571,0.444,95,0.00,4317,484.66,0,0
164,1,0.9846,-2.4303,0.371,261,734,0.442,75,0.00,4344,241.28,0,0
165,1,0.1263,-2.3855,0.251,233,639,0.440,70,0.00,4368,210.08,0,0
166,1,0.8677,-2.2834,0.365,511,1433,0.437,90,0.00,4420,452.84,0,0
167,1,-3.6344,-2.2620,0.283,687,1817,0.435,95,0.00,4489,600.68,0,0
168,1,-0.3501,-2.1798,0.246,254,710,0.433,70,0.00,4515,235.35,0,0
169,1,-0.6692,-2.1962,0.360,268,733,0.431,70,0.00,4542,243.25,0,0
170,1,-2.7015,-2.1465,0.332,756,2008,0.429,95,0.00,4618,678.96,0,0
171,1,-3.3658,-2.1648,0.289,601,1508,0.427,85,0.00,4679,539.18,0,0
172,1,-3.8824,-2.1538,0.282,295,854,0.424,80,0.00,4709,262.98,0,0
173,1,-2.1978,-2.1168,0.305,392,1061,0.422,80,0.00,4749,353.92,0,0
174,1,1.7147,-1.9724,0.319,318,926,0.420,80,0.00,4781,286.15,0,0
175,1,-0.4325,-1.9283,0.339,306,877,0.418,80,0.00,4812,274.19,0,0
176,1,-4.0861,-1.9291,0.214,518,1491,0.416,95,0.00,4864,460.17,0,0
177,1,-0.6928,-1.9476,0.204,329,859,0.414,75,0.00,4897,290.47,0,0
178,1,-1.1861,-2.0054,0.295,356,1086,0.412,90,0.00,4933,311.34,0,0
179,1,-0.7049,-1.9754,0.259,254,716,0.410,75,0.00,4959,238.06,0,0
180,1,-1.0539,-1.9828,0.282,307,887,0.408,80,0.00,4990,277.77,0,0
181,1,-3.0829,-2.0041,0.236,296,798,0.406,75,0.00,5020,268.67,0,0
182,1,-0.1812,-1.9096,0.302,210,596,0.404,65,0.00,5041,193.30,0,0
183,1,0.1583,-1.8592,0.270,335,930,0.402,80,0.00,5075,299.60,0,0
184,1,0.9935,-1.7236,0.208,331,927,0.400,80,0.00,5109,305.49,0,0
185,1,2.5844,-1.5682,0.303,324,855,0.398,75,0.00,5142,295.65,0,0
186,1,-0.2226,-1.5305,0.301,378,1010,0.396,80,0.00,5180,343.33,0,0
187,1,-0.4292,-1.4266,0.248,808,2131,0.394,95,0.00,5261,723.57,0,0
188,1,0.1293,-1.3622,0.264,330,858,0.392,75,0.00,5294,300.15,0,0
189,1,2.7927,-1.2238,0.263,406,1064,0.390,80,0.00,5335,368.64,0,0
190,1,-1.1912,-1.1556,0.290,324,902,0.388,80,0.00,5368,326.10,0,0
191,1,4.0908,-1.0592,0.342,293,793,0.386,75,0.00,5398,271.75,0,0
192,1,2.5156,-1.0075,0.275,446,1215,0.384,85,0.00,5443,397.99,0,0
193,1,3.7337,-0.9287,0.284,395,1166,0.382,90,0.00,5483,351.21,0,0
194,1,-3.6394,-0.9300,0.286,342,873,0.380,75,0.00,5518,323.50,0,0
